// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
W = 50
SIGMA = 1
K = 5
A = 0.363636
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
62 early 4028 805 4.09533 4.4308 6.00269 4.49005 1.02135 3.37107
62 late  3200 649 4.10687 3.52 5.99762 4.54111 1.01438 3.37205
63 early 4025 825 4.06012 4.4275 5.92889 4.46346 1.01019 3.42065
63 late  3218 664 4.04568 3.5398 5.93077 4.48608 1.00031 3.42184
64 early 3941 723 4.12002 4.3351 5.85723 4.38167 1.02436 3.46964
64 late  3166 588 4.13266 3.4826 5.86004 4.40012 1.02053 3.47091
65 early 3928 762 4.13697 4.3208 5.84585 4.35777 1.01884 3.51839
65 late  3140 610 4.14554 3.454 5.85353 4.36906 1.02166 3.5194
66 early 3903 763 4.13964 4.2933 5.86618 4.29769 1.02024 3.56676
66 late  3111 593 4.21986 3.4221 5.8521 4.29412 1.036 3.56791
67 early 3815 704 4.25662 4.1965 5.73582 4.22606 1.05557 3.61336
67 late  3105 581 4.24122 3.4155 5.71567 4.20444 1.06184 3.61431
68 early 3928 823 4.14308 4.3208 5.8516 4.28415 1.03819 3.66116
68 late  3149 652 4.16196 3.4639 5.89587 4.37633 1.04636 3.66239
69 early 3907 758 4.16048 4.2977 5.89336 4.2773 1.03711 3.71078
69 late  3117 624 4.17292 3.4287 5.90385 4.28781 1.04556 3.71176
70 early 3903 786 4.13118 4.2933 5.93591 4.27329 1.03946 3.75958
70 late  3127 625 4.17781 3.4397 5.9055 4.24713 1.06972 3.76079
71 early 3891 764 4.16114 4.2801 5.91486 4.24126 1.06348 3.80906
71 late  3129 616 4.14669 3.4419 5.88092 4.23238 1.05625 3.81072
72 early 3895 766 4.13453 4.2845 5.84938 4.23359 1.05006 3.86121
72 late  3139 603 4.19019 3.4529 5.84321 4.24142 1.06754 3.86217
73 early 3876 737 4.2033 4.2636 5.75251 4.21379 1.05186 3.90925
73 late  3119 576 4.25842 3.4309 5.7539 4.21784 1.04841 3.91031
74 early 3935 816 4.16798 4.3285 5.85977 4.32415 1.02694 4.04266
74 late  3148 641 4.19949 3.4628 5.88218 4.39897 1.04384 4.04386
75 early 3926 778 4.16913 4.3186 5.87758 4.27215 1.02573 4.09271
75 late  3134 605 4.24825 3.4474 5.89113 4.31285 1.04212 4.09403
76 early 3896 762 4.22177 4.2856 5.93851 4.24021 1.04594 4.14423
76 late  3119 597 4.23277 3.4309 5.93322 4.2785 1.05194 4.1452
77 early 3948 829 4.13399 4.3428 6.08092 4.29159 1.02761 4.19339
77 late  3209 656 4.18697 3.5299 6.06303 4.32 1.04082 4.19436
78 early 3982 773 4.18006 4.3802 6.13457 4.36319 1.03541 4.2433
78 late  3193 620 4.19605 3.5123 6.13109 4.39782 1.03382 4.24427
79 early 3964 771 4.18542 4.3604 6.04505 4.32791 1.04213 4.29467
79 late  3157 608 4.26734 3.4727 6.05296 4.38558 1.07254 4.29573
80 early 3917 760 4.24534 4.3087 6.05235 4.29941 1.06178 4.34497
80 late  3132 586 4.34451 3.4452 6.01228 4.31972 1.08397 4.34593
81 early 3962 830 4.22489 4.3582 6.04075 4.3527 1.06159 4.39385
81 late  3157 665 4.24073 3.4727 6.04586 4.418 1.05702 4.39489
82 early 3923 766 4.21744 4.3153 6.01679 4.35297 1.0441 4.44237
