// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
BURNIN = 200
W = 50
SIGMA = 1
K = 5
A = 0.444444
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
124 late  3588 709 4.15914 3.2292 6.13806 3.91724 1.03595 6.84555
125 early 4477 889 4.13469 4.0293 6.28194 3.98486 1.03797 6.89852
125 late  3545 695 4.14302 3.1905 6.25059 3.94542 1.03724 6.8996
126 early 4412 867 4.13237 3.9708 6.11919 3.91011 1.0442 6.95654
126 late  3531 683 4.09459 3.1779 6.10479 3.91898 1.02521 6.95752
127 early 4405 874 4.08377 3.9645 6.08066 3.89779 1.01067 7.01083
127 late  3471 654 4.15702 3.1239 6.05786 3.8965 1.03486 7.01187
128 early 4275 804 4.18713 3.8475 5.8401 3.79719 1.04187 7.06145
128 late  3431 634 4.18158 3.0879 5.88316 3.85199 1.04984 7.06226
129 early 4265 834 4.16835 3.8385 5.9583 3.8195 1.0415 7.11239
129 late  3438 663 4.12682 3.0942 5.93953 3.83504 1.01862 7.11322
130 early 4286 848 4.11246 3.8574 6.0094 3.82738 1.0084 7.16377
130 late  3477 650 4.21311 3.1293 6.02805 3.89331 1.04429 7.16477
131 early 4346 869 4.17073 3.9114 6.11394 3.85833 1.03405 7.21814
131 late  3475 687 4.21842 3.1275 6.09819 3.87704 1.03396 7.21909
132 early 4305 830 4.21231 3.8745 5.96825 3.79996 1.03902 7.27198
