// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 30
BURNIN = 200
W = 50
SIGMA = 1.5
K = 5
A = 0.444444
SD = 1.5
SI = 1.5
SM = 1.5
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=4.5);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=4.5);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
101 late  3457 652 4.18108 3.1113 5.86553 4.04987 1.04802 10.0314
102 early 4318 861 4.14799 3.8862 5.92618 3.99014 1.0359 10.1325
102 late  3449 685 4.147 3.1041 5.9254 4.03284 1.02928 10.1333
103 early 4308 859 4.12071 3.8772 5.8766 3.98401 1.01811 10.2317
103 late  3431 658 4.17021 3.0879 5.85647 3.96648 1.03585 10.2324
104 early 4284 853 4.14076 3.8556 5.71579 3.94067 1.03221 10.3293
104 late  3467 683 4.12172 3.1203 5.78672 4.0373 1.03288 10.3302
105 early 4360 893 4.07271 3.924 5.95705 4.01917 1.02431 10.4295
105 late  3492 695 4.04868 3.1428 5.95945 4.0212 1.02005 10.4307
106 early 4391 899 4.01503 3.9519 5.99044 4.02692 0.999545 10.532
106 late  3504 714 4.05108 3.1536 5.96621 4.05086 1.01341 10.5329
107 early 4321 817 4.09604 3.8889 5.87389 3.9817 1.02245 10.6317
107 late  3411 640 4.10056 3.0699 5.89397 4.07499 1.00938 10.6326
108 early 4265 854 4.07925 3.8385 5.80682 3.96855 1.00375 10.7306
108 late  3450 686 4.08261 3.105 5.80531 4.00342 1.00638 10.7317
109 early 4242 792 4.13366 3.8178 5.79991 3.95636 1.03324 10.9514
109 late  3411 620 4.17766 3.0699 5.83929 4.0274 1.03958 10.9523
110 early 4245 834 4.16042 3.8205 5.88804 3.92947 1.03604 11.0464
110 late  3396 652 4.24647 3.0564 5.88924 3.94847 1.05359 11.0473
111 early 4189 793 4.25328 3.7701 5.81238 3.88135 1.07329 11.1429
111 late  3377 638 4.25792 3.0393 5.81209 3.92791 1.07048 11.1439
112 early 4211 834 4.21658 3.7899 5.80876 3.875 1.06056 11.2387
112 late  3365 669 4.24131 3.0285 5.87143 3.9886 1.06835 11.2396
113 early 4222 857 4.1774 3.7998 5.81973 3.90934 1.04974 11.3351
113 late  3402 673 4.2669 3.0618 5.82118 3.92795 1.07878 11.3361
114 early 4243 841 4.22296 3.8187 5.83796 3.889 1.06222 11.4314
114 late  3390 657 4.22006 3.051 5.86312 3.94174 1.04867 11.4323
115 early 4214 824 4.19934 3.7926 5.78614 3.82668 1.04129 11.526
115 late  3372 641 4.25326 3.0348 5.78537 3.88686 1.07177 11.5269
116 early 4188 816 4.2297 3.7692 5.79928 3.85631 1.06375 11.6196
116 late  3403 663 4.2583 3.0627 5.80689 3.88854 1.0764 11.6206
117 early 4219 816 4.24129 3.7971 5.83455 3.85684 1.06329 11.7145
117 late  3467 673 4.2394 3.1203 5.81331 3.89345 1.06865 11.7157
118 early 4314 847 4.21071 3.8826 5.88059 3.93117 1.05563 11.8125
118 late  3430 662 4.21166 3.087 5.92529 4.00192 1.04169 11.8134
119 early 4253 823 4.20315 3.8277 5.83507 3.82539 1.04632 11.9106
119 late  3464 670 4.19919 3.1176 5.84303 3.86056 1.0407 11.9116
120 early 4340 876 4.14977 3.906 5.82781 3.9125 1.03433 12.0103
120 late  3473 692 4.16585 3.1257 5.84016 4.03152 1.03052 12.0116
121 early 4279 806 4.1928 3.8511 5.73715 3.98267 1.03599 12.109
121 late  3451 639 4.22573 3.1059 5.79634 4.05687 1.04028 12.1099
122 early 4295 844 4.19884 3.8655 5.85715 3.97109 1.03888 12.2062
122 late  3390 680 4.19145 3.051 5.87204 3.99519 1.0354 12.2072
123 early 4229 839 4.1615 3.8061 5.70434 3.89962 1.03712 12.3015
123 late  3400 678 4.21647 3.06 5.73304 3.96438 1.06118 12.3025
124 early 4228 828 4.19489 3.8052 5.72692 3.91236 1.05061 12.3959
124 late  3391 658 4.20997 3.0519 5.7402 3.96913 1.05043 12.3968
125 early 4223 832 4.18352 3.8007 5.76802 3.87572 1.0386 12.4916
125 late  3357 657 4.1552 3.0213 5.7886 3.96113 1.02979 12.4926
126 early 4153 796 4.16711 3.7377 5.6738 3.82054 1.0496 12.5869
126 late  3353 629 4.22815 3.0177 5.76301 3.90863 1.06919 12.5878
127 early 4204 851 4.16984 3.7836 5.91391 3.90109 1.03283 12.6848
127 late  3439 686 4.20733 3.0951 5.89055 3.89905 1.06368 12.6857
128 early 4220 781 4.2436 3.798 5.90628 3.88846 1.0827 12.7829
128 late  3386 611 4.31748 3.0474 5.86506 3.92577 1.09894 12.7839
129 early 4242 856 4.24446 3.8178 5.90593 3.88707 1.06954 12.8832
129 late  3383 665 4.28555 3.0447 5.94609 3.99536 1.07774 12.8842
130 early 4191 808 4.26652 3.7719 5.85215 3.84969 1.08471 12.9826
130 late  3380 622 4.31686 3.042 5.85499 3.86861 1.11124 12.9835
131 early 4203 823 4.27576 3.7827 5.83451 3.86047 1.08898 13.0781
